map_name,method,n_runs,success_rate,mean_position_error,std_position_error,median_position_error,mean_theta_error,std_theta_error,median_theta_error,mean_best_fitness,std_best_fitness,mean_runtime_seconds
simple_room,scan_only,25,0.68,2.074939732246526,3.0137996327314633,0.04902669716521552,1.0070283925551013,1.4561729006012196,0.005925287060602358,0.9985556708864651,0.0018413774522205394,15.410044813398272
simple_room,perception_aware,25,0.72,1.814834317945749,2.9043281437449937,0.048386625010810626,0.879865234278751,1.3973210727581942,0.008912276766317007,0.9989955845729839,0.0013714295807325072,15.323970386758447
easy_room,scan_only,25,0.68,1.4132965325561508,2.2899654291201976,0.050487568393568626,0.9334375879171651,1.371374248434824,0.012384472204853836,0.9973173938878016,0.0035212047145380086,12.399673288343473
easy_room,perception_aware,25,0.72,1.431369710343644,2.383559450844321,0.04856508495415608,0.8642750457836718,1.3643614967987312,0.01894882642090634,0.9983252343936801,0.0024633390798399104,12.32793040013872
medium_room,scan_only,25,0.56,1.8102938729155975,2.0537879998906816,0.07921477889488887,1.0748300494354084,1.2812276534089175,0.042463104633183146,0.9949443348872999,0.004971941618462364,10.590301369922235
medium_room,perception_aware,25,0.64,1.4833785809858135,1.971844758627225,0.06086504738579255,0.7911664988865955,1.1491305938223533,0.020966188548857456,0.9961140783214221,0.00441282679169973,10.923363683437929
complex_room,scan_only,25,0.24,2.8833074232740823,2.171425006070363,3.442180283284724,1.5830944032235337,1.045486019500173,1.6652747300570265,0.9884332555407549,0.009347646482948061,8.798355688434095
complex_room,perception_aware,25,0.56,1.4605708758206901,1.9244504982869322,0.08062137539417419,0.7403138477390445,1.0740581890569352,0.03750155572013547,0.9972254446484147,0.0028954295370195583,9.09532601505518
corridor,scan_only,25,0.52,1.7334918970113782,2.2016474855036545,0.06332920790400816,1.509246093733994,1.5602002572164515,0.028778065937808073,0.9977438131166301,0.001639426316221133,11.266011643307284
corridor,perception_aware,25,0.68,1.278452876386478,2.070166474186007,0.05214190904734846,1.007811697670948,1.4539823051682887,0.016751878461271463,0.9985042858355712,0.0013316111983579359,11.241762391719966
