experiment,config_id,map_name,method,pose_id,seed,true_x,true_y,true_theta,estimated_x,estimated_y,estimated_theta,best_fitness,position_error,theta_error,success,scan_error,feature_error,combined_error,scan_contribution,perception_contribution,runtime_seconds,population_size,generations,elite_size,tournament_size,crossover_rate,mutation_rate,sigma_xy,sigma_theta,fov_deg,num_beams,max_range_m,noise_std_m,angular_resolution_deg,perception_weight,final_best_history,final_mean_history
experiment_3_beam_sensitivity,beams_18,simple_room,perception_aware,0,0,1.0,1.0,0.0,7.000887973349634,4.787766736980419,3.12044682451122,0.9986807115697341,7.096325339389928,3.1204468245112196,False,0.00019965277777777765,0.003937581023558155,0.0013210312515118908,0.00013975694444444436,0.0011812743070674465,3.6303118329960853,100,40,3,3,0.9,0.8,0.35,0.25,360.0,18,8.0,0.0,21.176470588235293,0.3,0.9986807115697341,0.9653034978753091
experiment_3_beam_sensitivity,beams_18,simple_room,perception_aware,0,1,1.0,1.0,0.0,6.980894679833097,4.808232977808165,-3.1375071872574187,0.9979459819561716,7.090397702845835,3.1375071872574187,False,0.0005143229166666642,0.005660732253348853,0.002058245717671321,0.00036002604166666496,0.0016982196760046558,3.653971541993087,100,40,3,3,0.9,0.8,0.35,0.25,360.0,18,8.0,0.0,21.176470588235293,0.3,0.9979459819561716,0.9672926346960361
experiment_3_beam_sensitivity,beams_18,simple_room,perception_aware,0,2,1.0,1.0,0.0,1.037369329961746,0.9564406431586622,0.0162736905707298,0.9995582684769115,0.057392372230295946,0.016273690570729915,True,8.463541666666624e-05,0.001275606481306484,0.00044192673605861156,5.924479166666636e-05,0.0003826819443919452,3.7733522089984035,100,40,3,3,0.9,0.8,0.35,0.25,360.0,18,8.0,0.0,21.176470588235293,0.3,0.9995582684769115,0.9687758993974864
experiment_3_beam_sensitivity,beams_18,simple_room,perception_aware,0,3,1.0,1.0,0.0,0.9863682006595569,1.0280332354812356,-0.0047066918656586765,0.9999560335061474,0.03117191435899489,0.004706691865658641,True,8.68055555555555e-06,0.00012630679367101513,4.396842699019342e-05,6.076388888888885e-06,3.789203810130454e-05,3.7382555000076536,100,40,3,3,0.9,0.8,0.35,0.25,360.0,18,8.0,0.0,21.176470588235293,0.3,0.9999560335061474,0.9638327109788477
experiment_3_beam_sensitivity,beams_18,simple_room,perception_aware,0,4,1.0,1.0,0.0,7.035058166439476,4.864312840963765,3.1354289040927603,0.9979853248251022,7.166229190107253,3.1354289040927608,False,0.0001888020833333331,0.006288602755101148,0.0020187422848636774,0.00013216145833333317,0.0018865808265303443,3.6526645830017515,100,40,3,3,0.9,0.8,0.35,0.25,360.0,18,8.0,0.0,21.176470588235293,0.3,0.9979853248251022,0.96514535378806
experiment_3_beam_sensitivity,beams_18,simple_room,perception_aware,0,5,1.0,1.0,0.0,7.034127383163114,4.741718583862756,3.0929029322057637,0.9978116830963203,7.100081072569724,3.0929029322057637,False,0.0004535590277777768,0.006252082724497445,0.002193116136793677,0.00031749131944444376,0.0018756248173492332,3.827164749993244,100,40,3,3,0.9,0.8,0.35,0.25,360.0,18,8.0,0.0,21.176470588235293,0.3,0.9978116830963203,0.9680722244613287
experiment_3_beam_sensitivity,beams_18,simple_room,perception_aware,0,6,1.0,1.0,0.0,0.9970301655171371,1.0053090589373748,0.00885290701108093,0.9996799189103958,0.006083257651630461,0.00885290701108099,True,8.46354166666661e-05,0.0008697959421501098,0.0003201835743116992,5.924479166666627e-05,0.00026093878264503293,3.7399003339960473,100,40,3,3,0.9,0.8,0.35,0.25,360.0,18,8.0,0.0,21.176470588235293,0.3,0.9996799189103958,0.9657550540365216
experiment_3_beam_sensitivity,beams_18,simple_room,perception_aware,0,7,1.0,1.0,0.0,1.0039049304381313,0.9561702636015572,0.00029253551310086764,0.9997870765682068,0.04400334390115852,0.0002925355131009333,True,9.114583333333292e-05,0.0004972223150101207,0.00021296877783636927,6.380208333333304e-05,0.00014916669450303622,3.8787336249952205,100,40,3,3,0.9,0.8,0.35,0.25,360.0,18,8.0,0.0,21.176470588235293,0.3,0.9997870765682068,0.9678216154615303
experiment_3_beam_sensitivity,beams_18,simple_room,perception_aware,0,8,1.0,1.0,0.0,0.9931195844087829,0.9847865216066846,-0.0006414884662337244,0.9998920899485682,0.016697007023168526,0.0006414884662335751,True,2.1701388888888812e-05,0.0003091024168179653,0.00010792169726761176,1.5190972222222168e-05,9.273072504538959e-05,3.8082287500001257,100,40,3,3,0.9,0.8,0.35,0.25,360.0,18,8.0,0.0,21.176470588235293,0.3,0.9998920899485682,0.9660793834190128
experiment_3_beam_sensitivity,beams_18,simple_room,perception_aware,0,9,1.0,1.0,0.0,7.032909706934302,4.801940028488416,3.110051816933363,0.9981255943863305,7.130971007671019,3.110051816933363,False,0.00028211805555555493,0.005601476563607234,0.0018779256079710586,0.00019748263888888845,0.00168044296908217,3.634124999996857,100,40,3,3,0.9,0.8,0.35,0.25,360.0,18,8.0,0.0,21.176470588235293,0.3,0.9981255943863305,0.960628033231528
